Date,AAPL,MSFT,NVDA,GOOGL,AMZN
2021-04-22,84566500,25606200,277788000,24146000,51612000
2021-04-23,78657500,21462600,227500000,29066000,63856000
2021-04-26,66905100,19763300,197796000,32038000,97614000
2021-04-27,66015800,31014200,164572000,44386000,76542000
2021-04-28,107760100,46903100,209416000,81106000,92638000
2021-04-29,151101000,40589000,173196000,41234000,153648000
2021-04-30,109839500,30945100,201912000,44856000,140186000
2021-05-03,75135100,19626600,203912000,28242000,117510000
2021-05-04,137564700,32756100,405324000,44818000,108788000
2021-05-05,84000900,21901300,292024000,26636000,74226000
2021-05-06,78128300,26491100,193380000,25190000,88954000
2021-05-07,78973300,27032900,229328000,28898000,94206000
2021-05-10,88071200,29299900,268904000,30914000,116772000
2021-05-11,126142800,33641600,285584000,34186000,92396000
2021-05-12,112172300,36684400,303408000,46376000,98728000
2021-05-13,105861300,29624300,285404000,33204000,67018000
2021-05-14,81918000,23901100,258616000,31996000,66500000
2021-05-17,74244600,24970200,216980000,21598000,74478000
2021-05-18,63342900,20168000,186256000,22204000,56568000
2021-05-19,92612000,25739800,344000000,23684000,53594000
2021-05-20,76857100,21800700,321592000,32352000,52664000
2021-05-21,79295400,21863100,672992000,40632000,82098000
2021-05-24,63092900,21411500,554816000,31832000,48456000
2021-05-25,72009500,17704300,435408000,22440000,65222000
2021-05-26,56575900,17771600,370440000,21572000,47680000
2021-05-27,94625600,24426200,581476000,35224000,51224000
2021-05-28,71311100,18270200,644536000,21482000,46596000
2021-06-01,67637100,23213300,472804000,23354000,48600000
2021-06-02,59278900,19406700,594168000,21158000,40290000
2021-06-03,76229200,25307700,580008000,18696000,47966000
2021-06-04,75169300,25281100,617120000,24458000,44994000
2021-06-07,71057600,23079200,575756000,24120000,44316000
2021-06-08,74403800,22455000,323848000,24240000,68334000
2021-06-09,56877900,17937600,381656000,17942000,49110000
2021-06-10,71186400,24563600,287772000,25904000,69530000
2021-06-11,53522400,18999700,416308000,21958000,56348000
2021-06-14,96906500,19150500,321376000,22098000,51394000
2021-06-15,62746300,18038900,243032000,21562000,48524000
2021-06-16,91815000,27220000,307124000,26472000,84056000
2021-06-17,96721700,27565500,809656000,25842000,102730000
2021-06-18,108953300,37202200,968856000,46116000,104954000
2021-06-21,79663300,26696100,672384000,27414000,65542000
2021-06-22,74783600,24694100,580144000,22390000,66902000
2021-06-23,60214200,19518700,332356000,19148000,56266000
2021-06-24,68711000,21446900,320924000,21362000,76640000
2021-06-25,70783700,25611100,278364000,34594000,78820000
2021-06-28,62111300,19590000,495436000,28526000,44856000
2021-06-29,64556100,19937800,367632000,23108000,41968000
2021-06-30,63261400,21656500,326568000,24474000,48080000
2021-07-01,52485800,16725300,480136000,18110000,40742000
2021-07-02,78852600,26458000,342764000,25982000,63388000
2021-07-06,108181800,31565600,446708000,26404000,134896000
2021-07-07,104911600,23260000,418428000,24060000,106562000
2021-07-08,105575500,24618600,503300000,23790000,103612000
2021-07-09,99890800,23916700,296624000,18632000,74964000
2021-07-12,76299700,18931700,321984000,17668000,51432000
2021-07-13,100827100,26120100,290708000,19240000,76918000
2021-07-14,127050800,23113700,380100000,23742000,65932000
2021-07-15,106820300,22604200,550564000,24218000,63706000
2021-07-16,93251400,26186800,688224000,20424000,80874000
2021-07-19,121434600,32935600,749060000,27968000,75692000
2021-07-20,96350000,26259700,434687000,26312000,65114000
2021-07-21,74993500,24364300,371017000,20746000,46380000
2021-07-22,77338200,23384100,323826000,14302000,65308000
2021-07-23,71447400,22768100,195672000,41506000,48726000
2021-07-26,72434100,23176100,203943000,30572000,58002000
2021-07-27,104818600,33604100,248863000,54710000,82638000
2021-07-28,118931200,33566900,202191000,95130000,59988000
2021-07-29,56699500,18168300,190781000,31716000,110400000
2021-07-30,70440600,20944800,183497000,25576000,199312000
2021-08-02,62880000,16267400,217444000,21634000,67078000
2021-08-03,64786600,17879000,301811000,20762000,83146000
2021-08-04,56368300,16191300,231309000,19676000,43678000
2021-08-05,46397700,13900200,211435000,17870000,48670000
2021-08-06,54126800,16589300,178497000,20488000,52752000
2021-08-09,48908700,16117600,146443000,17760000,42964000
2021-08-10,69023100,18616600,179238000,19414000,48252000
2021-08-11,48493500,13955900,185925000,15352000,58944000
2021-08-12,72282600,14561300,151652000,16506000,46282000
2021-08-13,59375000,18249000,183063000,15948000,41134000
2021-08-16,103296000,22507600,210876000,22384000,66394000
2021-08-17,92229700,20075300,204585000,21716000,67758000
2021-08-18,86326000,21813000,285913000,19258000,56086000
2021-08-19,86960300,29850500,766555000,21782000,75658000
2021-08-20,60549600,40817600,675741000,31194000,67168000
2021-08-23,60131800,22830200,575807000,28454000,65362000
2021-08-24,48606400,18175800,297299000,19268000,51036000
2021-08-25,58991300,20006100,347701000,15848000,33606000
2021-08-26,48597200,17666100,237940000,20610000,41976000
2021-08-27,55802400,22605700,304722000,28780000,48048000
2021-08-30,90956700,16348100,262580000,24434000,63844000
2021-08-31,86453100,26285300,259850000,22448000,87128000
2021-09-01,80313700,18983800,201767000,21936000,72598000
2021-09-02,71115500,16285600,187834000,32342000,58474000
2021-09-03,57808700,14747900,280532000,19850000,51514000
2021-09-07,82278300,17180400,198107000,20124000,54758000
2021-09-08,74420200,15046800,254434000,18344000,61068000
2021-09-09,57305700,19927000,196856000,15314000,54384000
2021-09-10,140893200,19633400,248376000,36840000,47946000
2021-09-13,102404300,23652900,297500000,22094000,51380000
2021-09-14,109296300,21853400,199755000,19674000,38738000
2021-09-15,83281300,28356300,166538000,27408000,59150000
2021-09-16,68034100,19550800,156033000,26190000,51672000
2021-09-17,129868800,41372500,294503000,53384000,92332000
2021-09-20,123478900,38278700,349440000,46518000,93382000
2021-09-21,75834000,22364100,204688000,25332000,55618000
2021-09-22,76404300,26626300,268726000,25056000,48228000
2021-09-23,64838200,18604600,248555000,20952000,47588000
2021-09-24,53477900,14999000,217655000,22984000,42324000
2021-09-27,74150700,23571700,245215000,21882000,72690000
2021-09-28,108972300,43186200,343069000,45772000,88616000
2021-09-29,74602000,26353700,218394000,30848000,51246000
2021-09-30,89056700,32343600,221009000,37996000,56848000
2021-10-01,94639600,30086300,240978000,35360000,56712000
2021-10-04,98322000,31350700,345635000,51202000,90462000
2021-10-05,80861100,24993000,279282000,32404000,65384000
2021-10-06,83221100,28002600,297202000,24364000,50660000
2021-10-07,61732700,20430500,256919000,25110000,48182000
2021-10-08,58773200,17685700,151258000,26526000,39964000
2021-10-11,64452200,19298600,163388000,17954000,40684000
2021-10-12,73035900,17974100,162134000,36332000,36392000
2021-10-13,78762700,23416300,180652000,19654000,48402000
2021-10-14,69907100,27262900,243589000,31894000,42190000
2021-10-15,67940300,25384800,226994000,30274000,103598000
2021-10-18,85589200,22729300,189494000,20396000,63482000
2021-10-19,76378900,17682100,161473000,20164000,47722000
2021-10-20,58418800,16537100,146276000,23288000,42796000
2021-10-21,61421000,16918100,187590000,26292000,37628000
2021-10-22,58883400,17449300,249384000,50588000,62782000
2021-10-25,50720600,17554500,230235000,34412000,44520000
2021-10-26,60893400,28107300,485898000,49236000,53966000
2021-10-27,56094900,52588700,245990000,85782000,54044000
2021-10-28,100077900,26297900,234204000,36206000,114174000
2021-10-29,124953200,34766000,292503000,43320000,129722000
2021-11-01,74588300,27073200,265740000,46924000,72178000
2021-11-02,69122000,26487100,294112000,33482000,52552000
2021-11-03,54511500,21500100,239910000,27494000,67944000
2021-11-04,60394600,23992200,1153631000,38412000,107060000
2021-11-05,65463900,22570100,851260000,38354000,99940000
2021-11-08,55020900,20897000,503101000,23052000,61480000
2021-11-09,56787900,21307400,646746000,19530000,85898000
2021-11-10,65187100,25500900,636206000,29970000,80548000
2021-11-11,41000000,16849800,332172000,16518000,45288000
2021-11-12,63804000,23831000,413054000,22360000,53788000
2021-11-15,59222800,16723000,384909000,23508000,58594000
2021-11-16,59256200,20886800,264484000,18904000,44342000
2021-11-17,88807000,19053400,428508000,19594000,51206000
2021-11-18,137827700,22463500,781711000,35608000,114070000
2021-11-19,117305600,21963400,533867000,33682000,98734000
2021-11-22,117467900,31031100,754335000,30594000,96844000
2021-11-23,96041900,30427600,532163000,27218000,73804000
2021-11-24,69463600,21661300,435162000,18040000,46560000
2021-11-26,76959800,24217200,283069000,30470000,59826000
2021-11-29,88748200,28563500,454964000,32596000,65312000
2021-11-30,174048100,42885600,622066000,42068000,80022000
2021-12-01,152052500,33337600,484368000,34020000,74916000
2021-12-02,136739200,30766000,472890000,29194000,64726000
2021-12-03,118023100,41779300,544325000,41230000,80712000
2021-12-06,107497000,30032600,658938000,30618000,68860000
2021-12-07,120405400,31021900,593053000,32240000,66410000
2021-12-08,116998900,24761000,475551000,24270000,45254000
2021-12-09,108923700,22214200,488507000,23270000,46062000
2021-12-10,115402700,38095700,488825000,24458000,60690000
2021-12-13,153237000,28899400,598344000,27070000,62170000
2021-12-14,139380400,44438700,667035000,38446000,55976000
2021-12-15,131063300,35381100,698297000,36370000,75794000
2021-12-16,150185800,35034800,707366000,33650000,60876000
2021-12-17,195432700,47750300,713758000,50416000,85542000
2021-12-20,107499100,28326500,461847000,27192000,57372000
2021-12-21,91185900,24740600,524385000,28756000,55956000
2021-12-22,92135300,24831500,395184000,26322000,55036000
2021-12-23,68356600,19617800,343022000,26384000,36788000
2021-12-27,74919600,19947000,403686000,15976000,58688000
2021-12-28,79144300,15661500,420591000,18200000,54638000
2021-12-29,62348900,15042000,343139000,17788000,35754000
2021-12-30,59773000,15994500,308864000,15688000,37584000
2021-12-31,64062300,18000800,266530000,18136000,47830000
2022-01-03,104487900,28865100,391547000,28646000,63520000
2022-01-04,99310400,32674300,527154000,28400000,70726000
2022-01-05,94537600,40054300,498064000,54618000,64302000
2022-01-06,96904000,39646100,454186000,37348000,51958000
2022-01-07,86709100,32720000,409939000,29760000,46606000
2022-01-10,106765600,44289500,594681000,44408000,87798000
2022-01-11,76138300,29386800,404089000,28730000,62806000
2022-01-12,74805200,34372200,383413000,26108000,50030000
2022-01-13,84505800,45366000,540171000,31436000,52188000
2022-01-14,80440800,39846400,395832000,29662000,45974000
2022-01-18,90956700,42333200,424270000,34872000,67292000
2022-01-19,94815000,45933900,488315000,28648000,53242000
2022-01-20,91420500,35380700,435181000,29908000,71974000
2022-01-21,122848900,57984400,718958000,55652000,163972000
2022-01-24,162294600,85731500,913982000,76622000,155624000
2022-01-25,115798400,72848600,664616000,46960000,90824000
2022-01-26,108275300,90428900,755959000,49130000,95602000
2022-01-27,121954600,53481300,573353000,31950000,77516000
2022-01-28,179935700,49743700,543774000,34362000,74392000
2022-01-31,115541600,46444500,564680000,39986000,78308000
2022-02-01,86213900,40950400,518925000,68644000,59220000
2022-02-02,84914300,36636000,543419000,123200000,87330000
2022-02-03,89418100,43730000,410178000,71518000,225532000
2022-02-04,82465400,35096500,354829000,57998000,253456000
2022-02-07,77251200,28533300,376868000,54974000,102624000
2022-02-08,74829200,32421200,410359000,54284000,76040000
2022-02-09,71285000,31284700,524282000,40144000,68786000
2022-02-10,90865900,45386200,513200000,39330000,68268000
2022-02-11,98670700,39175600,605472000,39958000,77100000
2022-02-14,86185500,36359500,440424000,34302000,83230000
2022-02-15,62527400,27058300,699869000,26680000,56440000
2022-02-16,61177400,29982100,732676000,25022000,52704000
2022-02-17,69589300,32461600,810595000,38950000,64032000
2022-02-18,82772700,34264000,761255000,45620000,63604000
2022-02-22,91162800,41736100,633422000,44990000,66128000
2022-02-23,90009200,37811200,566511000,32786000,64244000
2022-02-24,141147500,56989700,735801000,54456000,100786000
2022-02-25,91974200,32546700,528866000,36406000,62396000
2022-02-28,95056600,34627500,477319000,38864000,57684000
2022-03-01,83474400,31217800,412056000,26496000,44874000
2022-03-02,79724800,31873000,389642000,23520000,47334000
2022-03-03,76678400,27314500,365095000,24604000,65198000
2022-03-04,83737200,32356500,431415000,30430000,60934000
2022-03-07,96418800,43157200,450821000,45112000,86934000
2022-03-08,131148300,48159500,557467000,40428000,91662000
2022-03-09,91454900,35204500,492742000,37026000,82656000
2022-03-10,105342000,30628000,428066000,27102000,135062000
2022-03-11,96970100,27209300,367209000,31526000,68900000
2022-03-14,108732100,30660700,385354000,38812000,74086000
2022-03-15,92964300,34245100,491996000,30920000,75584000
2022-03-16,102300200,37826300,671422000,35576000,84958000
2022-03-17,75615400,30816600,471941000,28264000,72934000
2022-03-18,123511700,43390600,730719000,44566000,102962000
2022-03-21,95811400,28351200,591727000,26832000,66538000
2022-03-22,81532000,27599700,547007000,35496000,64086000
2022-03-23,98062700,25715400,502120000,25154000,55812000
2022-03-24,90131400,24484500,877379000,26396000,56798000
2022-03-25,80546200,22566500,579016000,24126000,49032000
2022-03-28,90371900,29578200,425494000,35050000,59854000
2022-03-29,100589400,30393400,488984000,34318000,66154000
2022-03-30,92633200,28163600,463487000,19884000,56168000
2022-03-31,103049300,33422100,523440000,37524000,59966000
2022-04-01,78751300,27110500,517235000,25942000,57090000
2022-04-04,76468400,24289600,397120000,25942000,49882000
2022-04-05,73401800,23156700,436615000,21418000,53728000
2022-04-06,89058800,40110400,703833000,32468000,79056000
2022-04-07,77594700,31411200,557992000,26234000,68136000
2022-04-08,76575500,24361900,524781000,25142000,46002000
2022-04-11,72246700,34569300,575207000,36884000,52112000
2022-04-12,79265200,30966700,662258000,32710000,55178000
2022-04-13,70618900,21907200,516943000,27928000,53390000
2022-04-14,75329400,28221600,569097000,31598000,51598000
2022-04-18,69023900,20778000,525701000,20808000,46514000
2022-04-19,67723800,22297700,512781000,26490000,54926000
2022-04-20,67929800,22906700,468974000,31696000,59630000
2022-04-21,87227800,29454600,656209000,36446000,63970000
2022-04-22,84882400,29405800,624713000,56884000,73078000
2022-04-25,96046400,35678900,641566000,46128000,61874000
2022-04-26,95623200,46518400,653143000,73054000,77530000
2022-04-27,88063200,63477700,499460000,91820000,71336000
2022-04-28,130216800,33646600,570327000,48884000,117316000
2022-04-29,131747600,37073900,500435000,42676000,272662000
2022-05-02,123055300,35151100,572049000,35534000,148788000
2022-05-03,88966500,25978600,475751000,24968000,79134000
2022-05-04,108256500,33599300,648855000,49916000,110746000
2022-05-05,130525300,43260400,626331000,45840000,144392000
2022-05-06,116124600,37780300,633297000,39710000,124260000
2022-05-09,131577900,47726000,644455000,40802000,128124000
2022-05-10,115366700,39336400,761474000,39900000,105434000
2022-05-11,142689800,48975900,670167000,37534000,109704000
2022-05-12,182602000,51033800,708728000,53836000,132026000
2022-05-13,113990900,34925100,670437000,35038000,93684000
2022-05-16,86643800,32550900,521446000,25990000,74566000
2022-05-17,78336300,28828800,585830000,23054000,76448000
2022-05-18,109742900,31356000,545161000,35126000,108380000
2022-05-19,136095600,32692300,621310000,34144000,88142000
2022-05-20,137426100,39199300,739105000,48962000,99500000
2022-05-23,117726300,33175400,639889000,37184000,107798000
2022-05-24,104132700,29043900,588550000,76780000,102934000
2022-05-25,92482700,28547900,781132000,40258000,93120000
2022-05-26,90601500,25002100,996575000,37948000,93002000
2022-05-27,90978500,26910800,738379000,37914000,93660000
2022-05-31,103718400,37827700,664100000,50012000,144634000
2022-06-01,74286600,25292200,544514000,36606000,127528000
2022-06-02,72348100,44008200,648656000,37992000,100560000
2022-06-03,88570300,28059000,598779000,26136000,97604000
2022-06-06,71598400,22400300,422406000,33542000,135269000
2022-06-07,67808200,22860700,388914000,31590000,85156700
2022-06-08,53950200,17372300,363252000,26108000,64926600
2022-06-09,69473000,26439700,395574000,25798000,67029800
2022-06-10,91437900,31422800,465248000,41452000,87266000
2022-06-13,122207100,46135800,604153000,47252000,99277700
2022-06-14,84784300,28651500,469680000,33706000,69728800
2022-06-15,91533000,33111700,563936000,39698000,85011100
2022-06-16,108123900,33169200,545749000,51684000,82186300
2022-06-17,134520300,43084800,630334000,51376000,99772100
2022-06-21,81000500,29928300,483089000,47416000,70901200
2022-06-22,73409200,25939900,437135000,30774000,60040100
2022-06-23,72433800,25861400,463680000,28362000,64345300
2022-06-24,89116800,33923200,472153000,41164000,69867600
2022-06-27,70207900,24615100,427968000,36420000,62133200
2022-06-28,67083400,27295500,461149000,35792000,74942900
2022-06-29,66242400,20069800,482352000,24716000,66375300
2022-06-30,98964500,31730900,686070000,43170000,97679400
2022-07-01,71051600,22837700,577610000,35476000,73021200
2022-07-05,73353800,22941000,651397000,39342000,76583700
2022-07-06,74064300,23824400,529066000,37432000,66958900
2022-07-07,66253700,20859900,492903000,40936000,57872300
2022-07-08,64547800,19658800,467972000,38238000,45719700
2022-07-11,63141600,19455200,437321000,31196000,53487600
2022-07-12,77588800,35868500,458483000,29960000,54280300
2022-07-13,71185600,29497400,521918000,43722000,61353800
2022-07-14,78140700,25102800,456235000,37004000,51163100
2022-07-15,76259900,29774100,385935000,46770000,84317800
2022-07-18,81420900,20975000,670517000,43164600,59115400
2022-07-19,82982400,25012600,702366000,36530900,60990000
2022-07-20,64823400,22788300,760538000,35600400,71268300
2022-07-21,65086600,22404700,557049000,32676200,60239900
2022-07-22,66675400,21881300,536671000,48901200,51463800
2022-07-25,53623900,21056000,480748000,34690900,50221300
2022-07-26,55138700,39348000,397865000,47991000,67075100
2022-07-27,78620700,45994000,569776000,59858500,61582000
2022-07-28,81378700,33459300,474646000,32816600,82245500
2022-07-29,101786900,32152800,435460000,37223400,148892900
2022-08-01,67829400,21539600,476469000,26034300,76846900
2022-08-02,59907000,22754200,489527000,20236000,61922400
2022-08-03,82507500,23518900,418146000,28499000,71827800
2022-08-04,55474100,18098700,409652000,21602900,70585000
2022-08-05,56697000,16774600,386068000,19159500,50686900
2022-08-08,60276900,18739200,981859000,19138300,52229000
2022-08-09,63135500,23405200,668263000,19086500,40434700
2022-08-10,70170500,24687800,597422000,30930400,54773800
2022-08-11,57149200,20065900,509327000,24293700,44867300
2022-08-12,68039400,22619700,478094000,19096300,47643500
2022-08-15,54091700,18085700,457666000,19494800,39014600
2022-08-16,56377100,18102900,451240000,19041200,59102900
2022-08-17,79542000,18253400,446799000,22847000,48149800
2022-08-18,62290100,17186200,415447000,17987700,37458700
2022-08-19,70346300,20570000,441588000,21809500,47792800
2022-08-22,69026800,25061100,409593000,21456600,50461500
2022-08-23,54147100,17527400,369986000,15870400,36252100
2022-08-24,53841500,18137000,522661000,17734600,38627000
2022-08-25,51218200,16583400,770691000,16956800,37496300
2022-08-26,78961000,27549300,769127000,37245700,53322700
2022-08-29,73314000,20338500,496132000,21191200,48101600
2022-08-30,77906200,22767100,530181000,27513300,49203000
2022-08-31,87991100,24791800,573710000,28627000,53648700
2022-09-01,74229900,23263400,1178865000,28360900,56636100
2022-09-02,76957800,22855400,743157000,24160700,57429800
2022-09-06,73714800,21328200,535751000,25068300,43888600
2022-09-07,87449600,24126700,512657000,23167000,47900300
2022-09-08,84923800,20319900,624873000,24238300,43988500
2022-09-09,68028800,22084700,486612000,23197700,49387600
2022-09-12,104956000,18747700,484159000,22966800,53826900
2022-09-13,122656600,33353300,714956000,38172900,72694000
2022-09-14,87965400,23913000,588507000,26395100,45316800
2022-09-15,90481100,31530900,523625000,34188300,52887200
2022-09-16,162278800,39791800,670751000,42797200,115667800
2022-09-19,81474200,26826900,569685000,23036800,47279700
2022-09-20,107689800,26660300,524818000,26517100,47698400
2022-09-21,101696800,28625600,807679000,31487300,58498900
2022-09-22,86652500,31061200,759162000,34298600,55229200
2022-09-23,96029900,34176000,663309000,31625400,65126700
2022-09-26,93339400,27694200,547343000,27072700,62723300
2022-09-27,84442700,27018700,553854000,30072800,60094700
2022-09-28,146691400,29029700,542414000,32466300,55763800
2022-09-29,128138200,27484200,532763000,31047200,58969700
2022-09-30,124925300,35694800,565638000,32941500,59479600
2022-10-03,114311700,28880400,547478000,27982000,50941900
2022-10-04,87830100,34888400,584182000,28850800,62812600
2022-10-05,79471000,20347100,507131000,22176900,48217500
2022-10-06,68402200,20239900,644157000,22324000,42253800
2022-10-07,85925600,37769600,672478000,27502800,54678000
2022-10-10,74899000,29743600,698699000,18225100,42339700
2022-10-11,77033700,30474000,667482000,26507100,56432200
2022-10-12,70433700,21903900,492590000,21876400,45728700
2022-10-13,113224000,42551800,850103000,34574500,86868100
2022-10-14,88598000,30198600,713432000,25410700,67737300
2022-10-17,85250900,28142300,580774000,28419200,62782000
2022-10-18,99136600,26329600,659362000,24060700,65607400
2022-10-19,61758300,19985700,523131000,23811100,47198100
2022-10-20,64522000,21811000,652398000,25323200,48795100
2022-10-21,86548600,26299700,609494000,32458700,55660500
2022-10-24,75981900,24911200,517457000,27176400,49531500
2022-10-25,74732300,34775500,505482000,40611400,50934600
2022-10-26,88194300,82543200,532953000,88114100,68802300
2022-10-27,109180200,40424600,583113000,60710900,129605400
2022-10-28,164762400,40647700,521040000,43697300,223133400
2022-10-31,97943200,28357300,486341000,31675000,99251400
2022-11-01,80379300,30592300,432817000,47161400,153370000
2022-11-02,93604600,38407000,672628000,57038300,135761800
2022-11-03,97918500,36633900,500065000,61288000,136683300
2022-11-04,140814800,36789100,612576000,51124900,129101300
2022-11-07,83374600,33498000,410061000,34078900,77495700
2022-11-08,89908500,28192500,595292000,30429000,88703400
2022-11-09,74917800,27852900,454414000,31769100,90796200
2022-11-10,118854000,46268000,700819000,51620100,173414900
2022-11-11,93979700,34620200,655487000,33090500,111590500
2022-11-14,73374100,31123300,527852000,30179500,99533100
2022-11-15,89868300,31390100,545876000,41640800,111336300
2022-11-16,64218300,24093300,649547000,29105200,87958800
2022-11-17,80389400,23123500,710894000,26052600,82617900
2022-11-18,74829600,27613500,492072000,28342300,72428200
2022-11-21,58724100,26394700,404739000,21647400,84330300
2022-11-22,51804100,19665700,472866000,23438500,62192000
2022-11-23,58301400,19508500,427241000,18868100,59414700
2022-11-25,35195900,9200800,167934000,9701400,35088600
2022-11-28,69246000,24778200,303741000,26237500,74943100
2022-11-29,83763800,17956300,298384000,20061700,65567300
2022-11-30,111380900,47594200,565298000,43647500,102805800
2022-12-01,71250400,26041500,470977000,28687100,68488000
2022-12-02,65447400,21528500,371389000,21480700,72496400
2022-12-05,68826400,23435300,352255000,24405100,71535500
2022-12-06,64727200,22463700,352694000,24910700,75503600
2022-12-07,69721100,20481500,372388000,31045400,68086900
2022-12-08,62128300,22611800,515456000,32213300,73305900
2022-12-09,76097000,20609700,465338000,28225400,67398500
2022-12-12,70462700,30665100,457328000,29420000,61999800
2022-12-13,93886200,42196900,656589000,40593700,100212000
